complaint_text,category,urgency,duration,affected_count,source,cluster_id,cluster_count,issue_id
"My issue is with the complete lack of academic resources for the Robotics minor introduced by our department. Robotics is a field that fundamentally depends on both hardware and software, yet our “college” has reduced it to just theoretical or software-based learning, which defeats the entire purpose of the course.
There are no basic resources provided  not even something as simple as an Arduino board for hands-on practice. I haven’t been shown a single working robot, nor has there been any proper demonstration of real robotics applications. How are students expected to understand robotics without ever interacting with actual hardware?
Despite this, the department still expects 75% attendance. On what basis? Why should students attend classes that offer no practical value or real learning experience?
If the college is not capable of providing even the most basic infrastructure required for robotics education, then offering this course is misleading and pointless. Institutions like IITs carefully design their labs and even involve experts or interns to decide what experiments students should perform. In contrast, our “beautiful college” is teaching only software like MATLAB in a so-called robotics lab.

This is not robotics education  this is a complete misrepresentation of the subject.",Academics,High,More than a month,20+,real,,,
Washroom cleaning schedule follow nahi hoti. Subah clean hota hai aur dopahar tak ganda. At least twice a day hona chahiye.,Cleanliness,Low,More than a month,20+,synthetic,,,
Lab mein benches pe dust ki layer hai. Computers bhi dusty hai. Clearly regular cleaning nahi hoti. Yeh equipment lifespan bhi reduce karta hai.,Cleanliness,High,More than a month,5 to 20,synthetic,,,
food stale rehta hai sometimes,Mess/Food,Low,More than a month,20+,synthetic,,,
elective subject mein enrolled kiya but koi teacher hi nahi,Academics,High,More than a month,20+,synthetic,,,
lan port kaam nahi kar raha,Technical Issues,Medium,From last week,Only me,synthetic,,,
internship ke time pe attendance strict ho jaati hai,Academics,Medium,More than a month,20+,synthetic,,,
Area is not safe or clean outside ,Infrastructure,High,More than a month,5 to 20,real,,,
"Emergency exit signs in C block are faded and barely visible. In case of fire, this could be life-threatening.",Infrastructure,Medium,More than a month,20+,synthetic,,,
classroom windows broken hain,Infrastructure,High,From Last Month,20+,synthetic,,,
app constantly crash hoti hai,Technical Issues,High,From last week,5 to 20,synthetic,,,
counseling service nahi hai,Other,Medium,From Last Month,2 to 5,synthetic,,,
"Our classroom AC has been broken since the start of summer. It has been reported FOUR times - twice to the department, once to maintenance, once to HOD. Still nothing. In Mumbai summer, sitting in a room with 60 students and no AC for 6-7 hours is not just uncomfortable, it is a health risk. Students are unable to focus, attendance has dropped because people avoid the classroom. Either fix the AC or give us an alternate cool classroom. This cannot keep going.",Technical Issues,High,More than a month,20+,synthetic,,,
wifi ka login system kharab hai,Technical Issues,High,From last week,Only me,synthetic,,,
mentally harass kar rahe seniors,Ragging,Low,Today,Only me,synthetic,,,
"Cleaning happens only once, early morning. After students arrive, no cleaning till next morning.",Cleanliness,Medium,From Last Month,20+,synthetic,,,
classroom mein dust everywhere,Cleanliness,High,More than a month,20+,synthetic,,,
"Monday tests are making students lack behind in their day to day task , and not helping them to progress further ",Academics,High,More than a month,20+,real,,,
"Monday ko jo sabji thi na  chawli ki  bhai uska smell itna bura tha ki side table waale bhi complain kar rahe the. Phir bhi serve kiya. Is this acceptable? We are paying for decent food, not leftover smelly vegetables. Papad shortage rehti hai, misal ka pav stale rehta hai, aur roz same 2-3 items milte hai. Canteen wale creative honge toh variety laao na. Students bored ho gaye hai same food se.",Mess/Food,Medium,More than a month,20+,synthetic,,,
lecture samajh nahi aata,Academics,High,From last week,20+,synthetic,,,
"Faculty member shouts at students who ask doubts. Because of this, students afraid to ask questions in class.",Ragging,High,More than a month,Only me,synthetic,,,
"ISA marks affect karte hai SGPA ko, this is unfair",Academics,High,More than a month,2 to 5,synthetic,,,
"attendance se graduation rok dete hai, ridiculous",Academics,High,More than a month,20+,synthetic,,,
"College WhatsApp groups are full of spam  promotional messages, surveys, irrelevant forwards. It's so hard to find important messages in all this noise.",Other,Low,More than a month,2 to 5,synthetic,,,
"attendance 75% se kam ho gayi, tension ho rahi hai",Academics,High,Today,20+,synthetic,,,
"Professors woh hai jo sirf class mein aate hai aur ek cheez bata ke chale jate hai. Check karo ki students ne samjha ki nahi? Nahi. Assignment diya, checked kiya? Nahi. Phir exam mein result kharab aaya toh students ki galti. Teachers ka koi accountability nahi hai is college mein. Aur attendance? Unki toh zero accountability hai but hamari 75% maangi jaati hai. This is completely unfair.",Academics,High,More than a month,Only me,synthetic,,,
"Practical viva is unfair - different students get different questions, no standardization.",Academics,Medium,More than a month,5 to 20,synthetic,,,
No dustbins inside lab rooms. Students have to walk to corridor to throw waste. Add dustbins inside labs please.,Infrastructure,High,More than a month,20+,synthetic,,,
Language problem serious hai clg mein. Maharashtra ke bahar ke students ke liye Marathi medium faculty ek big barrier hai. Kuch professors poori class Marathi mein lete hai aur sirf end mein ek line English mein bolta hai. Non-Marathi students completely lost rehte hai throughout the lecture. Teaching medium English ya Hindi hona chahiye as per university guidelines. Please enforce this properly.,Other,High,From Last Month,5 to 20,synthetic,,,
"Honestly baat karu toh is college ki academic system ek trap hai. Hum 9 baje aate hai, 6 baje jaate hai, beech mein 6-7 lectures, ek practicals, monday test ki prep, assignment submission. Kab breathe karein? Kab self improvement karein? Placements approach kar rahe hai aur mujhe kuch nahi aata kyunki college ne sirf rote learning sikhaya. Industry wale AWS, Docker, React maangte hai aur hum yahan Pascal aur outdated Java ke examples padh rahe hai. Please revamp the curriculum.",Academics,High,Today,5 to 20,synthetic,,,
"The WiFi situation in this college is honestly embarrassing. It barely works inside the building, and when it does, the speed is so slow that a simple Google search takes forever. The login system is a nightmare - half the time the page doesn't load, and when it does, you get disconnected every few minutes. In 2026, a college that can't provide decent internet is a serious problem. Students need internet for research, online assignments, learning platforms. Please invest in proper networking infrastructure.",Technical Issues,High,From Last Month,20+,synthetic,,,
hostel geyser kharab hai,Infrastructure,Medium,From Last Month,20+,synthetic,,,
Girls washroom mein door locks broken hai almost every stall mein. We have to hold the door or wait for the one with a working lock. During breaks it's so stressful and time-consuming.,Infrastructure,High,Today,Only me,synthetic,,,
canopy leaks during rains,Infrastructure,Medium,From Last Month,20+,synthetic,,,
faraway students ke liye koi support nahi,Other,Medium,From last week,2 to 5,synthetic,,,
Professor ne exam mein caught cheating ke naam pe ek student ko itna humiliate kiya ki woh rona shuru ho gayi. Stern action is understandable but public humiliation is not.,Ragging,High,More than a month,20+,synthetic,,,
papad ki shortage rahti hai,Mess/Food,Medium,From last week,2 to 5,synthetic,,,
"I am writing on behalf of many students concerned about washroom hygiene in blocks C and D. Washrooms are cleaned only once in the morning. By 11am they are in deplorable condition - floors wet, flush not working, no soap, bad odor spreading to corridors. Students are forced to use unhygienic facilities multiple times a day. This increases risk of infections and skin diseases. Administration must hire adequate cleaning staff and ensure washrooms are cleaned at least 3 times daily. This is not a luxury request - it is basic sanitation.",Cleanliness,High,More than a month,5 to 20,synthetic,,,
"Main gate gets very crowded during dismissal. No crowd management, no designated exit paths. Accident prone.",Infrastructure,High,More than a month,20+,synthetic,,,
Canteen mein kabhi kabhi food cover nahi hota  flies around kar rahi hai aur staff ko koi difference nahi padta. Health hazard hai yeh.,Mess/Food,High,More than a month,5 to 20,synthetic,,,
vending machine kaam nahi karti,Other,Medium,More than a month,5 to 20,synthetic,,,
Water leakage in A block classrooms since monsoon. Nothing repaired. Seepage is now causing wall damage too.,Infrastructure,Medium,More than a month,2 to 5,synthetic,,,
building mein seepage hai,Infrastructure,Low,Today,20+,synthetic,,,
washroom mein smell aa rahi hai,Cleanliness,High,Today,20+,synthetic,,,
food mein oil bahut zyada hai,Mess/Food,High,From Last Month,5 to 20,synthetic,,,
dustbins overflow ho rahe hai,Cleanliness,High,More than a month,5 to 20,synthetic,,,
"The pc's in the lab m411 does not work, it does not allow me to login my id",Technical Issues,Medium,More than a month,20+,real,,,
Senior students spread rumors about juniors who report issues. Fear prevents genuine complaints. Strict confidentiality needed.,Ragging,High,More than a month,2 to 5,synthetic,,,
The college notice boards are broken and papers fall off constantly. Small thing but makes the whole environment look neglected.,Infrastructure,High,From Last Month,20+,synthetic,,,
"College WhatsApp groups are full of spam - promotions, surveys, irrelevant forwards. Important messages are buried.",Other,Medium,More than a month,20+,synthetic,,,
"No proper first aid room or medical facility on campus. If a student falls ill or gets injured, there's no immediate help available.",Other,Low,More than a month,20+,synthetic,,,
hostel mein bullying ho rahi hai,Ragging,High,From last week,2 to 5,synthetic,,,
registration process confusing hai,Other,Medium,From last week,20+,synthetic,,,
"I need to report a serious safety issue. The electrical wiring in the lab area is exposed in at least two places near the lab entrance. Wires hanging loose from the ceiling. Any student brushing against them risks electric shock. This was reported to the maintenance department two weeks ago and nothing has been done. With monsoon approaching and wet floors becoming common, this is an accident waiting to happen. Please treat this as an emergency and fix the wiring immediately.",Infrastructure,Medium,From last week,2 to 5,synthetic,,,
A senior student was verbally aggressive with 2-3 juniors in the parking lot. Threatened them and used intimidating language. This is ragging and should be taken seriously.,Ragging,High,More than a month,20+,synthetic,,,
outside area littered,Cleanliness,High,From last week,20+,synthetic,,,
Washroom cleaning ,Cleanliness,Medium,More than a month,5 to 20,real,,,
Water leakage in washroom has created mold on walls. Black patches visible. Mold causes respiratory issues.,Cleanliness,Medium,From Last Month,20+,synthetic,,,
iMac lab mein students ko access nahi diya jaata. Itna expensive hardware has dust on it. What's the point of buying it if students can't use it?,Technical Issues,Medium,More than a month,5 to 20,synthetic,,,
Re-evaluation process lena bahut difficult hai. Faculty non-cooperative hote hai.,Academics,High,More than a month,20+,synthetic,,,
ISA mein koi grace marks nahi milte,Academics,Medium,More than a month,Only me,synthetic,,,
cleaning staff regular nahi aata,Cleanliness,Low,From Last Month,5 to 20,synthetic,,,
"There is absolutely no mental health support infrastructure in this college. Engineering students face immense pressure - academic, placement-related, personal. Many of my friends are struggling with anxiety and burnout. There is no counselor, no support group, no accessible helpline. Some western colleges treat this as priority. Please hire at least one full-time counselor and set up a confidential support service. Students really need this. Several people I know are genuinely struggling and have nowhere to turn.",Other,Medium,More than a month,5 to 20,synthetic,,,
I want to report about the college's lack of communication infrastructure. Important notices posted on a physical board that most students never see. Emails sent from college accounts that go to spam. WhatsApp groups flooded with irrelevant messages so important ones get missed. Events and deadlines regularly missed by students not because they don't care but because they never received proper notification. Please set up a proper centralized communication system - a dedicated app or at minimum a structured email system with proper categories.,Other,Medium,From Last Month,Only me,synthetic,,,
The ISA marks are directly affecting our SGPA. Ek test mein kuch galat hua toh poora semester kharab. This system needs to change.,Academics,High,More than a month,20+,synthetic,,,
exam form submit nahi ho raha,Other,High,From last week,5 to 20,synthetic,,,
"During exams period, mess food quality aur bhi gir jaati hai. Iss time students ko proper nutrition chahiye.",Mess/Food,High,More than a month,5 to 20,synthetic,,,
no mental health support in college,Other,Low,More than a month,5 to 20,synthetic,,,
"Printer in the department is always jammed or out of paper. Every time we go to print something important, it's never working.",Technical Issues,High,From Last Month,20+,synthetic,,,
sir rude hai students ke saath,Ragging,High,More than a month,Only me,synthetic,,,
girls common room AC nahi,Infrastructure,High,Today,5 to 20,synthetic,,,
registration process confusing hai,Other,High,More than a month,Only me,synthetic,,,
senior ne intimidate kiya,Ragging,High,More than a month,2 to 5,synthetic,,,
"Outdoor dustbins are open type, no lid. Wind blows garbage all over campus. Use closed lid dustbins.",Cleanliness,Medium,More than a month,20+,synthetic,,,
"Being honest here  the monday MSC tests are absolutely pointless. We are engineering students, not school kids. Every monday we have to mug up something, write a test, and the marks go into our ISA which affects SGPA. This creates unnecessary anxiety and leaves no weekend for actual learning. Companies hire for skills, not for monday test marks. Please scrap this system or at least make it optional. Our mental health matters too.",Academics,Low,From Last Month,20+,synthetic,,,
toilet flush kaam nahi kar raha,Cleanliness,Medium,Today,5 to 20,synthetic,,,
seniors abusive language use kar rahe hai,Ragging,Medium,More than a month,Only me,synthetic,,,
ISA marks SGPA mein directly jaate hai aur koi second chance nahi. Ek bemar hone pe poora semester kharab.,Academics,High,More than a month,20+,synthetic,,,
"Regular attendance for assignment submission, sincerity is compared with attendance, they don't allow to work on our self to develop new skills and after all this they want some innovation in our project, it is difficult to manage both and I think this is the reason why the placement rate is decreasing day by day ",Academics,High,More than a month,Only me,real,,,
staff cooperate nahi kar raha,Other,High,More than a month,20+,synthetic,,,
fan kaam nahi kar raha classroom mein,Infrastructure,Medium,From last week,2 to 5,synthetic,,,
khana thanda serve hota hai,Mess/Food,Medium,From last week,20+,synthetic,,,
Assignment submissions portal pe often fails. Students panic karte hai deadline ke time pe.,Academics,High,From last week,20+,synthetic,,,
College mein cleaning ki responsibility sirf cleaning staff pe hai  but no quality check by administration. Accountability system banao.,Cleanliness,Medium,More than a month,20+,synthetic,,,
lab bench dirty rehte hai,Cleanliness,Low,More than a month,2 to 5,synthetic,,,
"OHU students ke liye meal ka cost high hai but quality itni low hai. Hum depend karte hai college food pe, koi option nahi.",Mess/Food,Medium,More than a month,20+,synthetic,,,
"The building infrastructure of this college is quite poor for the fees we pay. Broken benches, non-functional lights in corridors, leaking roofs during rain, broken washroom doors - these are basic things that should be maintained regularly. In one of our classrooms, two of three ceiling fans don't work. In Mumbai heat, sitting in a hot room with one fan for 60 students is unbearable. Please allocate budget for proper maintenance. Students deserve a functional learning environment.",Infrastructure,High,More than a month,20+,synthetic,,,
Canteen outdoor benches toot gaye hai. Students injury risk pe hai. Basic seating maintain karo please.,Mess/Food,High,From Last Month,2 to 5,synthetic,,,
D block washroom ka floor drainage system kharab hai. Paani floor pe ruk jaata hai aur slippery ho jaata hai. Ek student phisal bhi chuki hai wahan se. Yeh accident ka intezaar hai. Flush bhi properly nahi kaam karta. Soap nahi hai. Overall condition bahut unhygienic hai. Please send maintenance team to D block washrooms on priority. This is a safety and hygiene emergency - not something that can wait weeks.,Infrastructure,High,More than a month,2 to 5,synthetic,,,
sir behavior students ke saath bahut bura hai,Ragging,High,More than a month,Only me,synthetic,,,
system hang ho raha hai baar baar,Technical Issues,High,Today,2 to 5,synthetic,,,
College notices are never communicated properly. Deadlines come and go without most students knowing.,Other,High,More than a month,2 to 5,synthetic,,,
sir ne gaali di class mein,Ragging,High,More than a month,20+,synthetic,,,
drinking water area dirty hai,Cleanliness,High,From Last Month,20+,synthetic,,,
online submission portal exam ke time pe crash ho gaya,Academics,Medium,From Last Month,20+,synthetic,,,
College events are held on weekdays during college hours  this disturbs regular lectures and students suffer. Schedule events on weekends or free periods.,Other,Medium,From last week,2 to 5,synthetic,,,
spam messages in college groups,Other,Medium,From Last Month,5 to 20,synthetic,,,
Isa comprising of attendance ,Academics,High,More than a month,20+,real,,,
portal login issue aa raha hai,Other,Medium,From Last Month,2 to 5,synthetic,,,
"After monsoon, stagnant water in corners of campus. Breeding ground for mosquitoes and insects.",Cleanliness,Medium,From last week,20+,synthetic,,,
Internet blocks educational coding sites. How to complete assignments if the platform itself is blocked?,Technical Issues,High,From last week,5 to 20,synthetic,,,
Girls washroom mein door locks broken hai almost every stall mein. We have to hold the door or wait for one working lock.,Infrastructure,Medium,From Last Month,5 to 20,synthetic,,,
misal ka pav bura hai,Mess/Food,High,Today,20+,synthetic,,,
water cooler kaam nahi kar raha,Infrastructure,High,Today,20+,synthetic,,,
"The condition of girls washrooms across all blocks is extremely poor. Door locks are broken in most stalls. We either wait for the one working stall or ask someone to hold the door from outside - embarrassing and time-consuming. During break, there's a huge queue for just one functional washroom. No proper liquid soap dispenser - just a random sprite bottle with a hole. This is basic hygiene necessity. Please repair locks and install proper dispensers urgently.",Infrastructure,High,From last week,Only me,synthetic,,,
"The washrooms in this college are in terrible condition. All toilet stalls in girls washroom of D block have broken flush handles - you have to manually pour water or leave it. Floor is perpetually wet creating a slipping hazard. There are no soap dispensers. Cleaning is done only once in the morning, after which condition deteriorates rapidly. By afternoon it is genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule.",Infrastructure,Low,More than a month,5 to 20,synthetic,,,
seniors threaten karte hai,Ragging,Low,From last week,2 to 5,synthetic,,,
Professor ek particular student group ke saath bias rakhta hai  favorites ko marks deta hai aur baaki ko unfairly treats karta hai. This is discrimination.,Ragging,High,More than a month,Only me,synthetic,,,
Professor ek particular student group ke saath bias rakhta hai  favorites ko marks deta hai aur baaki ko unfairly treats karta hai. This is discrimination.,Ragging,High,From last week,20+,synthetic,,,
college portal down hai,Technical Issues,High,More than a month,5 to 20,synthetic,,,
"Parking area is completely unorganized. No designated spots, vehicles parked randomly, creates traffic jams every morning.",Infrastructure,High,More than a month,20+,synthetic,,,
canteen UPI accept nahi karta,Mess/Food,High,More than a month,20+,synthetic,,,
grading criteria transparent nahi hai,Academics,Medium,More than a month,20+,synthetic,,,
Some people constantly spam the class group with survey messages. Important messages get lost.,Other,High,More than a month,2 to 5,synthetic,,,
"Canteen ke bahar ka area garbage dump ban gaya hai. Stairs corners pe kachra, overflow dustbins.",Cleanliness,Medium,More than a month,20+,synthetic,,,
"The robotics minor course is a complete joke. They said we'll learn robotics but we haven't touched a single hardware component. Just MATLAB on a laptop. No Arduino, no sensors, no robots. Meanwhile they still want 75% attendance. Why should I attend classes that teach me nothing practical? IIT students do actual robotics. Here we are just watching videos and submitting reports. If you can't provide proper resources, don't offer the course. It's misleading.",Academics,High,More than a month,20+,synthetic,,,
Hostel corridor cleaning happens only on weekends. By Wednesday the corridor is uncomfortably dirty.,Cleanliness,High,More than a month,20+,synthetic,,,
washroom flush nahi kaam karta,Infrastructure,High,More than a month,2 to 5,synthetic,,,
notice properly nahi milti,Other,Low,From Last Month,2 to 5,synthetic,,,
cycle stand nahi hai,Infrastructure,High,More than a month,5 to 20,synthetic,,,
mentally harass kar rahe seniors,Ragging,High,From last week,Only me,synthetic,,,
Professors having attitude to help students and they themselves lack education ,Academics,High,More than a month,20+,real,,,
"Main OHU student hoon aur college food pe depend karta hoon. Situation yeh hai ki har din khana khaate time mujhe lagta hai yeh waste of money hai. Chapati itni thin hai ki fold karte time toot jaati hai. Dal mein sirf water hai, koi dal nahi. Paneer ki gravy oily aur watery dono simultaneously. 60 rupaye per meal charge kar rahe hai aur yeh de rahe hai? Mere ghar pe 20 rupaye mein better food banta hai. OHU students ki koi sunta hi nahi because 'you chose to stay, you deal with it.' Please improve food quality or reduce price.",Mess/Food,High,More than a month,5 to 20,synthetic,,,
parking nahi hai proper,Infrastructure,Low,From last week,5 to 20,synthetic,,,
"I want to make a formal complaint about the hygiene and food quality standards in the college mess. Over the past two months, I have personally experienced stomach issues after eating from the mess at least four times. Other students have similar complaints. The food is often lukewarm or cold when served. Vegetables are overcooked or undercooked randomly. Chapatis are made in large batches early and become hard by the time they reach our plates. The serving counters have no proper covering. Flies are regularly seen near the food. This is a serious health concern and administration must conduct a surprise inspection of the mess kitchen.",Mess/Food,High,From last week,5 to 20,synthetic,,,
canteen bahut expensive hai fees ke hisaab se,Mess/Food,Medium,From last week,20+,synthetic,,,
Internet connection in D block labs is non-existent. We have to use our own mobile data for practicals. College should provide proper connectivity.,Technical Issues,Low,More than a month,Only me,synthetic,,,
wifi nahi chal raha,Technical Issues,High,More than a month,20+,synthetic,,,
Dustbins on campus overflowing since morning. No one empties them. Garbage spilling onto floor by afternoon.,Cleanliness,High,From last week,20+,synthetic,,,
college wifi range weak hai,Technical Issues,Medium,More than a month,2 to 5,synthetic,,,
college events bahut paise waste karte hai,Other,Medium,From Last Month,Only me,synthetic,,,
SGPA mein ISA ka weightage itna zyada hai ki ek bemar student ka poora semester kharab ho jata hai. No flexibility for genuine cases.,Academics,Medium,More than a month,20+,synthetic,,,
"The WiFi situation in this college is honestly embarrassing. It barely works inside the building, and when it does, the speed is so slow that a simple Google search takes forever. The login system is a nightmare - half the time the page doesn't load, and when it does, you get disconnected every few minutes. In 2026, a college that can't provide decent internet is a serious problem. Students need internet for research, online assignments, learning platforms. Please invest in proper networking infrastructure.",Technical Issues,High,More than a month,20+,synthetic,,,
Hostel block mein geyser kaam nahi karta C wing mein. Cold water se nahaana in winter is not okay. Fix karo please.,Infrastructure,Medium,More than a month,20+,synthetic,,,
No bicycle parking area in college. Cycle wale students leave them anywhere. Proper cycle stand dena chahiye.,Infrastructure,Medium,More than a month,20+,synthetic,,,
lab systems login nahi ho rahe,Technical Issues,Medium,Today,Only me,synthetic,,,
"I have been trying to get my admission documents verified for the past 6 weeks. Every time I go to the admin office, I am told to come back tomorrow. I have gone 9 times. Different staff members give different information. Nobody knows who is responsible for what. I have emailed three times and received no reply. I need these documents verified urgently for a scholarship application deadline. This level of administrative inefficiency is unacceptable. Please assign a dedicated person for document verification and set clear timelines.",Other,Medium,More than a month,5 to 20,synthetic,,,
"I am writing on behalf of many students concerned about washroom hygiene in blocks C and D. Washrooms are cleaned only once in the morning. By 11am they are in deplorable condition - floors wet, flush not working, no soap, bad odor spreading to corridors. Students are forced to use unhygienic facilities multiple times a day. This increases risk of infections and skin diseases. Administration must hire adequate cleaning staff and ensure washrooms are cleaned at least 3 times daily. This is not a luxury request - it is basic sanitation.",Cleanliness,Low,More than a month,20+,synthetic,,,
window broken hai class ki,Infrastructure,Low,More than a month,5 to 20,synthetic,,,
"I want to formally raise an issue about the monday MSC tests. Every single monday, without fail, we are tested on something. This ruins the weekend because Sunday becomes mandatory study day. In engineering college, students should have time to explore, build projects, apply for internships. But no, sunday ko test prepare karo. The marks go into ISA which affects SGPA. One bad test, whole GPA suffers. This system was designed to torture students, not help them learn. Please abolish this practice or at least make attendance optional.",Academics,High,Today,2 to 5,synthetic,,,
"Professors woh hai jo sirf class mein aate hai aur ek cheez bata ke chale jate hai. Check karo ki students ne samjha ki nahi? Nahi. Assignment diya, checked kiya? Nahi. Phir exam mein result kharab aaya toh students ki galti. Teachers ka koi accountability nahi hai is college mein. Aur attendance? Unki toh zero accountability hai but hamari 75% maangi jaati hai. This is completely unfair.",Academics,High,More than a month,2 to 5,synthetic,,,
Sweeping is done daily but with same dirty broom - it just moves dust around. Use proper mop with disinfectant.,Cleanliness,High,From last week,20+,synthetic,,,
outside college area littered,Cleanliness,Medium,From last week,20+,synthetic,,,
"I need to report a serious safety issue. The electrical wiring in the lab area is exposed in at least two places near the lab entrance. Wires hanging loose from the ceiling. Any student brushing against them risks electric shock. This was reported to the maintenance department two weeks ago and nothing has been done. With monsoon approaching and wet floors becoming common, this is an accident waiting to happen. Please treat this as an emergency and fix the wiring immediately.",Infrastructure,Medium,From last week,2 to 5,synthetic,,,
wifi nahi chal raha,Technical Issues,High,More than a month,5 to 20,synthetic,,,
"The parking area is completely unorganized. No designated spots, vehicles parked randomly  it creates traffic jams every morning and evening.",Infrastructure,High,More than a month,5 to 20,synthetic,,,
Classroom smart boards are rarely functional. Teachers end up using chalk boards which defeats the purpose of having smart technology.,Technical Issues,Medium,From Last Month,20+,synthetic,,,
"Professor ne wrong concept padhaya, jab student ne point out kiya toh attitude diya. This discourages learning.",Ragging,High,From last week,5 to 20,synthetic,,,
washroom bahut ganda hai,Cleanliness,High,Today,20+,synthetic,,,
faculty ne verbal abuse ki,Ragging,High,From last week,Only me,synthetic,,,
Software required for curriculum not installed on lab computers. First 30 minutes of every practical goes into installing.,Technical Issues,High,More than a month,Only me,synthetic,,,
Faculty member calls on distracted students and mocks them sarcastically. 'Aap toh celebrity ho' type comments.,Ragging,Medium,More than a month,Only me,synthetic,,,
Lab M312 mein half the computers kaam nahi karte. Either they don't boot or the login fails. How are we supposed to complete practicals?,Technical Issues,High,From Last Month,Only me,synthetic,,,
corridors mein kachra pada rehta hai,Cleanliness,Medium,From Last Month,5 to 20,synthetic,,,
Canteen mein rush time pe staff bohot rude ho jaata hai. Extra roti maango toh attitude aata hai. Hum customer hai bhai.,Mess/Food,High,From Last Month,20+,synthetic,,,
Re-evaluation process lena bahut difficult hai. Faculty non-cooperative hote hai.,Academics,High,More than a month,20+,synthetic,,,
Attendance 75% mandatory hai but professor khud kabhi kabhi nahi aata. Double standard clearly.,Academics,High,From Last Month,Only me,synthetic,,,
Jain food options nahi hai canteen mein. Students with dietary restrictions have nothing to eat here.,Mess/Food,High,More than a month,2 to 5,synthetic,,,
professor threatens attendance kaatne ki,Ragging,High,More than a month,20+,synthetic,,,
counseling service nahi hai,Other,Medium,More than a month,Only me,synthetic,,,
"Wifi password change hota rehta hai bina notice ke. Suddenly disconnect, class mein teacher kuch bata rahe hote hai aur net nahi.",Technical Issues,High,More than a month,5 to 20,synthetic,,,
ragging ho rahi hostel mein,Ragging,Low,From Last Month,Only me,synthetic,,,
AC in room 301 makes a huge noise during lectures. It's very distracting. Either fix or replace the unit.,Infrastructure,High,From Last Month,5 to 20,synthetic,,,
no grievance cell,Other,High,Today,Only me,synthetic,,,
lab internet connection zero hai,Technical Issues,High,More than a month,20+,synthetic,,,
Water leakage in washroom has created mold on walls. Black patches visible. This is a health hazard  mold causes respiratory problems.,Cleanliness,Low,More than a month,20+,synthetic,,,
"Lab hygiene has been ignored for too long. Our computer lab tables have layers of dust. Keyboards are sticky. Mouse pads have unknown stains. We spend hours here daily breathing dusty air. Allergies and respiratory issues are common complaints in these labs. A proper cleaning schedule should be implemented - wiping down systems, mopping floors, dusting - at least twice a week. This is a basic requirement for a functioning educational facility.",Cleanliness,High,From Last Month,20+,synthetic,,,
misal ka pav bura hai,Mess/Food,High,From Last Month,5 to 20,synthetic,,,
Hostel corridor cleaning happens only on weekends. 5 days mein corridor itna ganda ho jaata hai ki walk karna uncomfortable ho jata hai.,Cleanliness,Medium,More than a month,5 to 20,synthetic,,,
"College website outdated - timetables wrong, faculty list incomplete. When will this be updated?",Technical Issues,High,From Last Month,20+,synthetic,,,
college bus facility nahi hai,Other,Medium,More than a month,Only me,synthetic,,,
"College events are good but management is terrible. Events scheduled during class hours without coordination with academic calendar. Events run 2-3 hours over announced time. Students who need to catch specific buses are stuck. Announcements made last minute. Budget seems high but execution is poor. Meanwhile genuine student concerns about facilities, food, wifi go unaddressed for months. Administration priorities seem reversed. Please fix the basics first before spending on elaborate events.",Other,Medium,From last week,5 to 20,synthetic,,,
Hostel corridor cleaning happens only on weekends. By Wednesday the corridor is uncomfortably dirty.,Cleanliness,High,More than a month,5 to 20,synthetic,,,
"I want to make a formal complaint about the hygiene and food quality standards in the college mess. Over the past two months, I have personally experienced stomach issues after eating from the mess at least four times. Other students have similar complaints. The food is often lukewarm or cold when served. Vegetables are overcooked or undercooked randomly. Chapatis are made in large batches early and become hard by the time they reach our plates. The serving counters have no proper covering. Flies are regularly seen near the food. This is a serious health concern and administration must conduct a surprise inspection of the mess kitchen.",Mess/Food,High,From Last Month,20+,synthetic,,,
app constantly crash hoti hai,Technical Issues,High,From last week,20+,synthetic,,,
placement preparation ke liye zero support,Academics,Medium,From last week,5 to 20,synthetic,,,
"ATTENDANCE SYSTEM IS BROKEN AND DESTROYING STUDENT FUTURES. We have 75% mandatory attendance. But what about professors who take attendance and then don't teach? Or professors who cancel class last minute? Our attendance still gets counted. And when we miss classes for genuine reasons like medical emergencies, family issues, technical problems, there's no grace. Some professors use attendance as a weapon to threaten students into compliance. This has to stop. Please implement a fair attendance policy.",Academics,Medium,Today,5 to 20,synthetic,,,
"I am a first year student and want to report serious ragging by seniors in our department. They asked us to stand in a line and answer personal questions. When we refused, they threatened to make our college life difficult. One of them told us they know professors who can mark our attendance as absent. We are genuinely scared. We tried to report to a teacher but were told 'it's just seniors being friendly.' This is NOT friendly. Please take strict action. We have the names of the seniors involved.",Ragging,High,More than a month,2 to 5,synthetic,,,
Lab M312 mein half the computers kaam nahi karte. Either don't boot or login fails. Practicals kaise submit karein?,Technical Issues,High,From Last Month,20+,synthetic,,,
staff cooperate nahi kar raha,Other,Medium,From last week,2 to 5,synthetic,,,
The college app crashes frequently and has a very outdated UI. Assignment submissions through the app often fail. Please update or replace it.,Other,Medium,More than a month,5 to 20,synthetic,,,
floor properly clean nahi hota,Cleanliness,High,From Last Month,20+,synthetic,,,
paneer watery hai roz,Mess/Food,Low,More than a month,20+,synthetic,,,
hostel geyser kharab hai,Infrastructure,High,From Last Month,5 to 20,synthetic,,,
